                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.84719,                 0.5712,                 1.2607,                0.82714,                0.77174,                0.84595,                0.55295,                 1.2618,                0.84204,                 1.5192,              0.0006734,              0.0006734,              0.0006734
                     69,                0.85803,                 0.5606,                 1.2601,                0.75504,                0.84239,                0.86062,                0.55432,                 1.3086,                0.86971,                 1.5697,              0.0006536,              0.0006536,              0.0006536
                     70,                0.83871,                0.55718,                 1.2487,                0.82382,                0.81522,                0.86201,                 0.5552,                 1.2895,                0.83934,                 1.5622,              0.0006338,              0.0006338,              0.0006338
                     71,                0.83527,                0.55219,                  1.246,                0.77683,                0.81346,                0.86673,                0.56815,                 1.2899,                0.82408,                 1.5667,               0.000614,               0.000614,               0.000614
                     72,                0.82872,                0.55548,                 1.2433,                0.78978,                0.81674,                0.87329,                0.56991,                 1.2729,                0.85878,                 1.5385,              0.0005942,              0.0005942,              0.0005942
                     73,                0.82589,                0.53899,                 1.2328,                 0.7952,                0.80978,                0.86774,                 0.5681,                 1.2692,                0.84442,                 1.5292,              0.0005744,              0.0005744,              0.0005744
                     74,                0.80357,                0.53151,                 1.2277,                0.79798,                0.79428,                0.87342,                 0.5666,                 1.2668,                0.83065,                 1.5455,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.8119,                0.54515,                 1.2331,                 0.7976,                0.81522,                0.87924,                0.55229,                  1.345,                0.82804,                 1.6333,              0.0005348,              0.0005348,              0.0005348
                     76,                0.79053,                0.52161,                 1.2194,                0.83291,                0.77717,                 0.8708,                0.55032,                 1.3332,                0.83327,                 1.6025,               0.000515,               0.000515,               0.000515
                     77,                0.78742,                0.51799,                 1.2116,                0.78121,                0.81522,                0.86324,                0.57336,                 1.2476,                0.84395,                   1.52,              0.0004952,              0.0004952,              0.0004952
                     78,                0.79208,                0.51777,                 1.2142,                0.76818,                0.84783,                0.86933,                0.57647,                 1.2421,                0.81812,                 1.5242,              0.0004754,              0.0004754,              0.0004754
                     79,                0.78623,                0.51546,                 1.2109,                0.80567,                0.78804,                0.86742,                0.57658,                 1.2522,                0.86683,                 1.5227,              0.0004556,              0.0004556,              0.0004556
                     80,                 0.7586,                0.50111,                 1.1861,                0.78788,                0.82609,                0.87476,                0.59378,                 1.2243,                0.83444,                 1.4995,              0.0004358,              0.0004358,              0.0004358
                     81,                0.75923,                0.50044,                 1.1908,                0.80078,                0.80435,                 0.8687,                0.58156,                 1.2486,                0.85671,                 1.5499,               0.000416,               0.000416,               0.000416
                     82,                0.74837,                0.49229,                 1.1899,                0.85122,                0.77174,                0.87942,                0.58059,                 1.2709,                0.85836,                 1.5564,              0.0003962,              0.0003962,              0.0003962
